"time","AirTemp_degC","Longwave_Wm-2","Latent_Wm-2","Sensible_Wm-2","Shortwave_Wm-2","lightExtinct_m-1","ShearVelocity_mS-1","ShearStress_Nm-2","Area_m2"
2009-06-04 00:00:00,11.360009765,679.232448211422,-137.773513675058,-1.46895937000501,0,0.255787037037037,0.843690408528195,0.00152972976149397,3.6e+07
2009-06-04 01:00:00,10.71502075,678.29216297419,-152.775960556889,-4.19474262603222,0,0.255324074074074,1.08579615380173,0.00229042547277269,3.6e+07
2009-06-04 02:00:00,10.1500030495,677.822857446534,-167.54641785933,-6.97951876596063,0,0.254861111111111,1.33661442019313,0.00319393464113255,3.6e+07
2009-06-04 03:00:00,9.6699920655,677.779741526364,-175.701583134723,-9.28515894215808,0,0.254398148148148,1.43895728252726,0.00359409748132353,3.6e+07
2009-06-04 04:00:00,9.194985962,677.815044245071,-185.245632709453,-11.7484373634453,0,0.253935185185185,1.57568142690406,0.00415584561768152,3.6e+07
2009-06-04 05:00:00,9.279992676,681.707807761529,-183.563152646549,-10.824499765313,0,0.253472222222222,1.56026260408427,0.00409094462645083,3.6e+07
2009-06-04 06:00:00,9.920022585,686.23954254492,-170.088738010354,-6.66345018747822,31.60400009,0.253009259259259,1.3784775733373,0.00335540094428995,3.6e+07
2009-06-04 07:00:00,10.560037235,678.700302639092,-157.244963138364,-3.04511797015409,145.55600359,0.252546296296296,1.20747338029488,0.00271460864027458,3.6e+07
2009-06-04 08:00:00,11.875039675,675.309506258852,-143.419366349341,2.9175537316071,300.8625107,0.252083333333333,1.12026903228521,0.00240778782040203,3.6e+07
2009-06-04 09:00:00,13.860025025,682.513121698927,-128.822288302901,10.4514268438574,452.8400116,0.25162037037037,1.10739793676068,0.00236368713612194,3.6e+07
2009-06-04 10:00:00,15.844995115,689.839050506313,-115.239160532387,16.5088112419637,607.46099855,0.251157407407407,1.09464110342556,0.00232029472837119,3.6e+07
2009-06-04 11:00:00,17.22998962,695.073158621188,-109.347342981337,19.5837573286505,737.55599975,0.250694444444444,1.10705293938107,0.002362597276784,3.6e+07
2009-06-04 12:00:00,18.0099884,692.860845429865,-110.301239302371,20.8132836155263,840.1159973,0.250231481481481,1.147185966258,0.00250121377483913,3.6e+07
2009-06-04 13:00:00,18.784997555,696.117931510715,-111.999269438896,21.9286540984528,888.911499,0.249768518518519,1.19722930169025,0.00267818418018827,3.6e+07
2009-06-04 14:00:00,19.32502136,703.475655470641,-111.921431855849,21.9669777798557,873.41299435,0.249305555555556,1.19501003336493,0.00267038364314366,3.6e+07
2009-06-04 15:00:00,19.63001404,706.239287192613,-109.72831146574,21.0134048641736,820.875,0.248842592592593,1.13735730955678,0.00246738803794903,3.6e+07
2009-06-04 16:00:00,19.930001835,706.254818824065,-107.401841506701,20.163099575013,738.0005188,0.24837962962963,1.08076632064185,0.00227402742910144,3.6e+07
2009-06-04 17:00:00,19.905007935,707.820579137184,-107.590103408842,18.9332217200643,608.58450315,0.247916666666667,1.06525765354327,0.00222214573156034,3.6e+07
2009-06-04 18:00:00,19.549996945,710.462978967019,-110.144139357407,17.2645345457507,438.78700255,0.247453703703704,1.09364787999822,0.00231774223053124,3.6e+07
2009-06-04 19:00:00,19.189996335,712.943310556767,-111.982462796368,15.7798194932674,255.3290024,0.246990740740741,1.12269200132339,0.00241706325948006,3.6e+07
2009-06-04 20:00:00,17.96500549,708.430221431237,-129.265632539598,12.330868986347,103.13599779,0.246527777777778,1.34435312745517,0.00322474557185541,3.6e+07
2009-06-04 21:00:00,15.87000427,696.768049734277,-166.798855195085,4.55047570623627,23.72800064,0.246064814814815,1.83748497647248,0.00531653164860592,3.6e+07
2009-06-04 22:00:00,13.76999817,684.731992574682,-210.458486183464,-6.32227391947318,0,0.245601851851852,2.44371955347578,0.00838964079886579,3.6e+07
2009-06-04 23:00:00,12.230004885,677.500818644055,-236.581089263293,-15.4851052424429,0,0.245138888888889,2.77541751392916,0.0102842780222194,3.6e+07
2009-06-05 00:00:00,11.250009155,671.972811201694,-237.57362988354,-15.6008570913981,0,0.244675925925926,2.78791216305645,0.0103573344655256,3.6e+07
2009-06-05 01:00:00,10.265008544,670.975704898908,-243.439977028058,-21.4680513455001,0,0.244212962962963,2.79926064342948,0.0104246838225021,3.6e+07
2009-06-05 02:00:00,9.4950042725,671.161599682883,-245.913291693065,-25.6765545409001,0,0.24375,2.74843130930846,0.0101232843263661,3.6e+07
2009-06-05 03:00:00,8.9499908445,671.442870773388,-244.921510548513,-26.4775566448372,0,0.243287037037037,2.6725516107577,0.00967943128969733,3.6e+07
2009-06-05 04:00:00,8.4049926755,673.189244544652,-247.927622853027,-29.1543826695406,0,0.242824074074074,2.66804478614487,0.00965315242440399,3.6e+07
2009-06-05 05:00:00,8.5299926755,679.861169977289,-245.136456274592,-27.0922860716837,0,0.242361111111111,2.69871003599665,0.00983112116102592,3.6e+07
2009-06-05 06:00:00,9.3249908445,686.963093082024,-234.824018961882,-19.8945576309778,31.672000885,0.241898148148148,2.72318916829176,0.00997399742533484,3.6e+07
2009-06-05 07:00:00,10.1200042735,681.43313966341,-225.277512509748,-13.5956830280855,144.535999285,0.241435185185185,2.74787854615326,0.0101189711759971,3.6e+07
2009-06-05 08:00:00,12.03501282,683.507489575872,-205.960838934814,-0.44620405279298,297.72549435,0.240972222222222,2.84235724915559,0.0106812698500514,3.6e+07
2009-06-05 09:00:00,15.065026855,699.495443791282,-179.500680657037,18.0183014240274,447.72898865,0.240509259259259,3.04433430826445,0.0119213312733163,3.6e+07
2009-06-05 10:00:00,18.095025635,715.291989519899,-156.815253557239,34.8151495442845,600.4129944,0.240046296296296,3.31664927820779,0.0136728689877578,3.6e+07
2009-06-05 11:00:00,20.105004885,724.393544005102,-151.092247702106,46.2458393673873,728.9215088,0.239583333333333,3.67383068775607,0.01610412038978,3.6e+07
2009-06-05 12:00:00,21.094995115,721.179733591816,-161.440473764993,53.6256073631734,830.2709961,0.23912037037037,4.11535439897429,0.0193110341734035,3.6e+07
2009-06-05 13:00:00,22.08500061,724.004999632591,-173.24341096106,61.8800443202385,877.8364868,0.238657407407407,4.61428829183396,0.0231915329287621,3.6e+07
2009-06-05 14:00:00,22.750009155,731.296480772341,-177.752581905613,67.1779956014755,861.9419861,0.238194444444444,4.92575976585578,0.025747012203546,3.6e+07
2009-06-05 15:00:00,23.08500061,732.955573881337,-174.062756531528,68.9646006831631,810.28250125,0.237731481481481,5.01863294264581,0.0265285358554657,3.6e+07
2009-06-05 16:00:00,23.419992065,736.450286580928,-170.120701795472,70.9273217233317,728.10751345,0.237268518518519,5.11092836804692,0.0273137850831062,3.6e+07
2009-06-05 17:00:00,23.314996335,739.882552761756,-159.614474719957,66.9683724519439,600.16549685,0.236805555555556,4.79657261115294,0.024676066051089,3.6e+07
2009-06-05 18:00:00,22.765008545,740.90105087465,-143.036817624036,57.6356165568713,433.147995,0.236342592592593,4.09368430573966,0.0191501051883147,3.6e+07
2009-06-05 19:00:00,22.215005495,741.878684849473,-126.928842374026,49.2715018843707,251.63199615,0.23587962962963,3.42081008310315,0.0143679190014921,3.6e+07
2009-06-05 20:00:00,20.919992065,736.230044106486,-124.676930063373,40.0066881122333,101.499998095,0.235416666666667,2.90637264265928,0.0110699694624843,3.6e+07
2009-06-05 21:00:00,18.87999878,723.848858296384,-137.867595902495,30.0612193437022,23.676000595,0.234953703703704,2.6192548485224,0.00937267407538272,3.6e+07
2009-06-05 22:00:00,16.840005495,711.308060395917,-156.577757672003,20.9405505508116,0,0.234490740740741,2.51848225366508,0.00880227894854305,3.6e+07
2009-06-05 23:00:00,15.11501465,702.102926864673,-169.253254071803,12.6745488288698,0,0.234027777777778,2.39188249868247,0.00810495099424695,3.6e+07
2009-06-06 00:00:00,13.705026245,696.533616151542,-177.009883736742,5.72089652406239,0,0.233564814814815,2.29125371399139,0.00756620521957609,3.6e+07
2009-06-06 01:00:00,12.29500732,691.232084610364,-195.201898026015,-1.70847616908285,0,0.233101851851852,2.48265054142734,0.00860243663000126,3.6e+07
2009-06-06 02:00:00,10.975015255,686.683374839548,-209.399586349446,-9.45693004795365,0,0.232638888888889,2.5706691963888,0.00909548972166566,3.6e+07
2009-06-06 03:00:00,9.7500244125,682.954204550711,-215.024806167575,-16.6986495435886,0,0.232175925925926,2.4346836985808,0.00833789576486396,3.6e+07
2009-06-06 04:00:00,8.525003052,679.312966017114,-222.97550449944,-24.2610464150613,0,0.231712962962963,2.36149275686333,0.0079404143545044,3.6e+07
2009-06-06 05:00:00,8.0949951175,680.962453952439,-222.601588903981,-26.3248022482824,0,0.23125,2.27975108602657,0.00750517585138006,3.6e+07
2009-06-06 06:00:00,8.4600158695,684.256265994502,-212.810228434432,-22.7194110946567,32.659999845,0.230787037037037,2.15998823816733,0.00688430103302754,3.6e+07
2009-06-06 07:00:00,8.8200164795,682.832520044596,-203.388345785531,-19.4432423004907,114.687999745,0.230324074074074,2.04304057974366,0.00629764514594276,3.6e+07
2009-06-06 08:00:00,10.079995728,687.517755023525,-186.793008959496,-11.0765574180259,216.2194977,0.229861111111111,1.96070169218761,0.00589646864964962,3.6e+07
2009-06-06 09:00:00,12.245004275,698.984480283665,-172.579314391625,1.28936772597086,324.90849305,0.229398148148148,2.16523551379923,0.00691101182343468,3.6e+07
2009-06-06 10:00:00,14.4150177,716.939795533454,-172.298535458575,13.9922291381751,366.65449525,0.228935185185185,2.80949701290268,0.0104843363088246,3.6e+07
2009-06-06 11:00:00,15.945031735,732.689028021239,-175.01931263006,24.2065186548051,379.92300415,0.228472222222222,3.43919116299094,0.0144899940704063,3.6e+07
2009-06-06 12:00:00,16.83501587,736.263136412036,-176.839290907934,30.791968977378,432.7460022,0.228009259259259,3.88687006995733,0.0176238716748575,3.6e+07
2009-06-06 13:00:00,17.730020145,746.930321602214,-179.168401121345,38.0382357735988,366.60949705,0.227546296296296,4.38959478178147,0.0214103746855278,3.6e+07
2009-06-06 14:00:00,17.870019535,756.75837474525,-180.409266778088,40.2601003072566,270.727005,0.227083333333333,4.72729550406833,0.024106165805017,3.6e+07
2009-06-06 15:00:00,17.244989015,755.345152815662,-180.513645289675,36.7083905498079,254.5600052,0.22662037037037,4.87875771179096,0.0253538220421345,3.6e+07
2009-06-06 16:00:00,16.619989015,749.66795743661,-180.276577069969,32.8987484730664,272.5450058,0.226157407407407,5.03421567189451,0.0266587747435603,3.6e+07
